# Transkription der Lautschrift deutscher Silben in deutsche Normalschrift
# Arno Baumfalk & Harriet Eidam 09/2023
di: die
gə ge
tə te
bə be
tən ten
tsu: zu
das das
aI ei
fɛr ver
an an
gən gen
lIç lich
nə ne
dən denn
de:n dehn
aIn ein
mIt mit
nən nen
bər ber
In in
tər ter
də de
zi: sie
auf auf
fɔn von
ɛr er
dɛs des
ʊn un
rən ren
zIç sich
bən ben
nIçt nicht
aus aus
dər der
zo: soh
Ist ist
χən chen
çən chen
al al
vi: wie
de:m dem
fy:r für
da: da
e:r ehr
o: o
sən sen
bai bei
ɛs es
fo:r vor
ʃən schen
rə re
tsi: zie
ŋən ngen
y: ü
ən en
Iç ich
nər ner
li: lie
lən len
zai sai
hat hat
ge: geh
mən men
a: ah
zə se
lə le
i: ie
ve:r wehr
als als
auχ auch
χə che
çə che
na:χ nach
ʊm um
ap ab
re: re
ja: ja
man man
vIrt wird
de:r der
ha: ha
rʊŋ rung
le: le
va:r war
ɛnt ent
sə se
tIʃ tisch
vI:r wier
nɔX noch
dʊrç durch
ʊnt und
vɛn wenn
ni: nie
nəm nem
ar ar
ə e
fən fen
zInt sind
tʊŋ tung
ʃə sche
nu:r nur
vas was
ti: tie
ve: weh
je: jeh
pro: pro
o:n ohn
zən sen
vai wei
zɔl soll
nIs nis
e: eh
ʃaft schafft
ri: rie
rər rer
vʊr wur
bIs bis
tIg tig
de: deh
ʃtɛl schtel
na: nah
mi: mie
po: po
tət tet
tIç tich
kan kann
hIn hin
kɔn konn
zɔn sonn
kɔm komm
zər ser
va: wah
dɔy deu
kai kai
tsən zen
mər mer
to: to
nɔy neu
mai mei
fi: vie
fɔl voll
hɛr her
me: meh
zain sein
ze: seh
mʊs muss
au au
me:r mehr
lər ler
mo: mo
rai rei
rIç rich
χər cher
çər cher
dan dann
nəs ness
dərn dern
za: sa
kœn könn
zɛts setz
vɔr wor
hait heit
ne: neh
mə me
tsvai zwei
gər ger
dɔχ doch
kait keit
gʊN gung
mɛn menn
hal hall
dɛn denn
ta: ta
ta:k tag
tai tei
vo: wo
lo: lo
ra: ra
kən kenn
te: teh
ma:l mal
ər er
fɔr vor
ma: ma
Im im
lʊŋ lung
tsait zeit
stən sten
dʊŋ dung
ɛt eht
ŋə nge
ʃo:n schohn
lant land
la: lah
vɛlt welt
nʊŋ nung
fə fe
he:r her
zam sam
vIs wiss
dəs des
sər ser
nIʃ nisch
