# Transkription der Lautschrift deutscher Silben in deutsche Normalschrift
# Arno Baumfalk & Harriet Eidam 09/2023
di: die
gə ge
tə te
bə be
tən ten
tsu: zuh
das das
aI ei
fɛr ver
an an
gən gen
lIç lich
nə ne
dən den
de:n dehn
aIn ein
mIt mit
nən nen
bər ber
In ihn
tər ter
də de
zi: sie
auf auf
fɔn von
ɛr er
dɛs des
ʊn un
rən ren
zIç sich
bən ben
nIçt nicht
aus aus
dər der
zo: soh
Ist ist
χən chen
çən chen
al al
vi: wie
de:m dehm
fy:r für
da: dah
e:r ehr
o: oh
sən sen
bai bei
ɛs es
fo:r vor
ʃən schen
rə re
tsi: zie
ŋən ngen
y: üh
ən en
Iç ich
nər ner
li: lie
lən len
zai sai
hat hat
ge: geh
mən men
a: ah
zə se
lə le
i: ie
ve:r wehr
als als
auχ auch
χə che
çə che
na:χ nach
ʊm um
ap ab
re: reh
ja: jah
man man
vIrt wirt
de:r dehr
ha: hah
rʊŋ rung
le: leh
va:r wahr
ɛnt ent
sə se
tIʃ tisch
vI:r wier
nɔX noch
dʊrç durch
ʊnt und
vɛn wenn
ni: nie
nəm nem
ar ar
ə e
fən fen
zInt sind
tʊŋ tung
ʃə sche
nu:r nuhr
vas was
ti: tie
ve: weh
je: jeh
pro: proh
o:n ohn
zən sen
vai weih
zɔl soll
nIs niss
e: eh
ʃaft schaft
ri: rie
rər rer
vʊr wur
bIs bis
tIg tig
de: deh
ʃtɛl schtel
na: nah
mi: mih
po: poh
tət tet
tIç tich
kan kan
hIn hin
kɔn kon
zɔn son
kɔm kom
zər ser
va: wah
dɔy deu
kai kai
tsən zen
mər mer
to: toh
nɔy neu
mai mei
fi: vie
fɔl vol
hɛr her
me: meh
zain sein
ze: seh
mʊs mus
au au
me:r mehr
lər ler
mo: moh
rai rei
rIç rich
χər cher
çər cher
dan dann
nəs nes
dərn dern
za: sah
kœn kön
zɛts setz
vɔr wor
hait heit
ne: neh
mə me
tsvai zwei
gər ger
dɔχ doch
kait keit
gʊN gung
mɛn män
hal hal
dɛn dän
ta: tah
ta:k tag
tai tei
vo: voh
lo: loh
ra: rah
kən ken
te: teh
ma:l mahl
ər er
fɔr vor
ma: mah
Im im
lʊŋ lung
tsait zeit
stən sten
dʊŋ dung
ɛt ätt
ŋə nge
ʃo:n schon
lant land
la: lah
vɛlt welt
nʊŋ nung
fə fe
he:r hehr
zam sam
vIs fies
dəs des
sər ser
nIʃ nisch
